訓練日期,20140212 - 20140515
測試日期,20140516 - 20140804
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10723041.230000000447035
真實報酬,3387888.920000001788139


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-81.827910773537482 x^2 + 18879.354777935084712 x + 10000000.000000000000000
二次平均預期報酬,8978.177574337050828
風險,100921.548913835795247
二次平均趨勢值,0.088961947878965
一次趨勢線,11484.284667363941480 x + 10000000.000000000000000
一次預期報酬,11484.284667363941480
一次風險,167041.155159123474732
一次趨勢值,0.068751228740151
投資組合檔數,6
Stock#,JNJ[12](16),KO[14](15),MCD[15](5),TRV[22](9),UNH[23](4),XOM[29](28)
張數,17926,43133,17481,20029,23600,18347,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
剩餘資金,85.780000000027940,6.879999999888241,27.459999999962747,52.910000000149012,34.000000000000000,24.520000000018626,
20140212,1656806.699999999953434,1661058.709999999729916,1658799.550000000046566,1647638.450000000186265,1657697.999999999767169,1671069.280000000027940,9953074.689999999478459
20140213,1659316.340000000083819,1667097.329999999841675,1668763.719999999739230,1660056.430000000167638,1680589.999999999767169,1677490.730000000214204,10013318.550000000745058
20140214,1662901.540000000037253,1679174.569999999832362,1674357.639999999897555,1682889.489999999990687,1735106.000000000000000,1726660.689999999944121,10161093.929999999701977
20140218,1652325.199999999953434,1616200.389999999897555,1678553.079999999841675,1689899.640000000130385,1742422.000000000000000,1725926.809999999823049,10105331.120000001043081
20140219,1642824.419999999925494,1600241.179999999934807,1670337.010000000009313,1682689.200000000186265,1735814.000000000000000,1723725.170000000158325,10055634.980000000447035
20140220,1656089.659999999916181,1608867.779999999795109,1673833.209999999962747,1678683.400000000139698,1734162.000000000000000,1749777.910000000149012,10101417.960000000894070
20140221,1640673.300000000046566,1603691.819999999832362,1686069.909999999916181,1678282.820000000298023,1741950.000000000000000,1743539.929999999934807,10094211.780000001192093
20140224,1633323.640000000130385,1617494.379999999888241,1686943.959999999962747,1671272.670000000158325,1793870.000000000232831,1769409.199999999953434,10172317.849999999627471
20140225,1633323.640000000130385,1629140.290000000037253,1689041.679999999934807,1669269.770000000251457,1777585.999999999767169,1767024.090000000083819,10165389.470000000670552
20140226,1633323.640000000130385,1633453.589999999850988,1676280.550000000046566,1671072.380000000353903,1795050.000000000000000,1757483.650000000139698,10166667.810000000521541
20140227,1637805.140000000130385,1642080.189999999944121,1662120.939999999944121,1679484.560000000055879,1794106.000000000000000,1758401.000000000000000,10174001.830000000074506
20140228,1651428.900000000139698,1647687.479999999981374,1663344.610000000102445,1679284.270000000251457,1823606.000000000000000,1766290.209999999962747,10231645.470000002533197
20140303,1641390.340000000083819,1644236.839999999850988,1648835.379999999888241,1666065.130000000353903,1819593.999999999767169,1752163.020000000018626,10172288.709999999031425
20140304,1673298.620000000111759,1652432.110000000102445,1660372.840000000083819,1684692.100000000093132,1843902.000000000000000,1770876.959999999962747,10285578.629999998956919
20140305,1659854.120000000111759,1654157.429999999934807,1661072.079999999841675,1689899.640000000130385,1840597.999999999767169,1720973.119999999878928,10226558.389999998733401
20140306,1665231.919999999925494,1659333.389999999897555,1670861.439999999944121,1690500.510000000242144,1832338.000000000000000,1720239.240000000223517,10238508.500000000000000
20140307,1672940.099999999860302,1662784.029999999795109,1669462.959999999962747,1681086.880000000353903,1826674.000000000232831,1742806.049999999813735,10255758.019999999552965
20140310,1675270.479999999981374,1667097.329999999841675,1664218.659999999916181,1678082.530000000260770,1838002.000000000000000,1752163.020000000018626,10274838.019999999552965
20140311,1675987.520000000018626,1673567.279999999795109,1726800.639999999897555,1674076.730000000214204,1835642.000000000000000,1724825.990000000223517,10310904.160000000149012
20140312,1677959.379999999888241,1659333.389999999897555,1725576.969999999739230,1671072.380000000353903,1831393.999999999767169,1728495.389999999897555,10293835.509999999776483
20140313,1667203.780000000027940,1637766.889999999897555,1702152.429999999934807,1654248.020000000251457,1817470.000000000232831,1718037.600000000093132,10196882.720000000670552
20140314,1663797.840000000083819,1646393.489999999990687,1705823.439999999944121,1655650.050000000046566,1786554.000000000000000,1714918.610000000102445,10173141.429999999701977
20140317,1683874.960000000195578,1650706.790000000037253,1706173.059999999823049,1673275.570000000298023,1811570.000000000232831,1730513.559999999823049,10256117.940000001341105
20140318,1684054.219999999972060,1656314.079999999841675,1701103.570000000065193,1681487.460000000195578,1840834.000000000000000,1737668.889999999897555,10301466.220000000670552
20140319,1677780.120000000111759,1645099.500000000000000,1679951.559999999823049,1666465.710000000195578,1887089.999999999767169,1719688.830000000074506,10276079.719999998807907
20140320,1687280.900000000139698,1658470.729999999981374,1688692.059999999823049,1667066.580000000307336,1924142.000000000000000,1735283.780000000027940,10360940.049999998882413
20140321,1719726.960000000195578,1658039.399999999674037,1668938.530000000027940,1678082.530000000260770,1919658.000000000000000,1730330.090000000083819,10374779.509999999776483
20140324,1706640.979999999981374,1656314.079999999841675,1681350.040000000037253,1679684.850000000093132,1918242.000000000000000,1736384.600000000093132,10378620.549999998882413
20140325,1745719.659999999916181,1665803.339999999850988,1676630.169999999925494,1683089.780000000260770,1913993.999999999767169,1741338.290000000037253,10426579.239999998360872
20140326,1739804.080000000074506,1665372.009999999776483,1675406.500000000000000,1671072.380000000353903,1924378.000000000232831,1737485.420000000158325,10413522.390000000596046
20140327,1743927.060000000055879,1674429.939999999944121,1681000.419999999925494,1672274.120000000111759,1912106.000000000000000,1765739.799999999813735,10449481.339999999850988
20140328,1746795.219999999972060,1680037.229999999981374,1699879.899999999906868,1682288.620000000111759,1926266.000000000000000,1792526.420000000158325,10527797.389999998733401
20140331,1760956.760000000009313,1667528.659999999683350,1713689.889999999897555,1704520.810000000055879,1934997.999999999767169,1792159.480000000214204,10573857.599999999627471
20140401,1755758.219999999972060,1656745.409999999683350,1711417.360000000102445,1690300.220000000204891,1931458.000000000000000,1793076.830000000074506,10538760.040000000968575
