訓練日期,20150630 - 20150930
測試日期,20151001 - 20151211
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11764708.570000000298023
真實報酬,934330.949999999254942


夏普值報酬,-0.008834498843028
夏普值風險,0.035186788095725
夏普值,-0.251074318548020
二次趨勢線,65.720983093049227 x^2 + 11743.187931614402260 x + 10000000.000000000000000
二次平均預期報酬,19432.542953501157172
風險,282754.751205487991683
二次平均趨勢值,0.068725787526657
一次趨勢線,17485.453055255133222 x + 10000000.000000000000000
一次預期報酬,17485.453055255133222
一次風險,299894.938504148507491
一次趨勢值,0.058305262311099
投資組合檔數,2
Stock#,HD[9](7),NKE[19](21)
張數,45232,92867,
分配資金,16087647,16087647,
剩餘資金,54.719999999739230,40.719999999739230,
20150630,5026686.879999999888241,5015787.389999999664724,10042474.269999999552965
20150701,5069204.959999999031425,5081722.959999999962747,10150927.919999998062849
20150702,5042970.399999999441206,5102153.699999999254942,10145124.099999997764826
20150706,5035280.959999999031425,5100296.360000000335276,10135577.320000000298023
20150707,5084131.519999999552965,5168089.269999999552965,10252220.789999999105930
20150708,5020806.719999999739230,5074293.599999999627471,10095100.320000000298023
20150709,5037994.879999999888241,5081722.959999999962747,10119717.839999999850988
20150710,5115793.919999999925494,5131871.139999999664724,10247665.059999998658895
20150713,5197211.519999999552965,5220094.790000000037253,10417306.309999998658895
20150714,5218018.239999999292195,5216380.110000000335276,10434398.349999999627471
20150715,5227969.279999999329448,5195949.370000000111759,10423918.649999998509884
20150716,5189522.080000000074506,5216380.110000000335276,10405902.190000001341105
20150717,5177761.759999999776483,5237739.519999999552965,10415501.279999999329448
20150720,5129815.839999999850988,5253526.910000000149012,10383342.750000000000000
20150721,5150170.239999999292195,5247026.219999999739230,10397196.459999999031425
20150722,5197211.519999999552965,5298103.069999999366701,10495314.589999999850988
20150723,5183189.599999999627471,5293459.719999999739230,10476649.320000000298023
20150724,5137957.599999999627471,5247026.219999999739230,10384983.820000000298023
20150727,5114436.959999999031425,5188520.009999999776483,10302956.969999998807907
20150728,5194497.599999999627471,5269314.299999999813735,10463811.899999998509884
20150729,5263702.559999999590218,5336178.540000000037253,10599881.099999999627471
20150730,5267773.439999999478459,5340821.889999999664724,10608595.329999998211861
20150731,5293555.679999999701977,5350108.589999999850988,10643664.269999999552965
20150803,5287223.200000000186265,5332463.860000000335276,10619687.060000000521541
20150804,5316171.679999999701977,5376111.349999999627471,10692283.029999999329448
20150805,5337430.719999999739230,5421616.179999999701977,10759046.899999998509884
20150806,5272296.639999999664724,5345465.240000000223517,10617761.879999998956919
20150807,5289032.480000000447035,5317605.139999999664724,10606637.620000001043081
20150810,5319337.919999999925494,5356609.279999999329448,10675947.199999999254942
20150811,5323408.799999999813735,5314819.129999999888241,10638227.929999999701977
20150812,5323408.799999999813735,5249812.229999999515712,10573221.029999999329448
20150813,5383567.359999999403954,5274886.319999999366701,10658453.679999999701977
20150814,5416586.719999999739230,5310175.779999999329448,10726762.500000000000000
20150817,5414325.120000000111759,5338964.549999999813735,10753289.669999999925494
20150818,5554544.319999999366701,5331535.189999999478459,10886079.509999997913837
20150819,5552735.040000000037253,5338035.879999999888241,10890770.919999999925494
20150820,5452320.000000000000000,5214522.769999999552965,10666842.769999999552965
20150821,5254203.839999999850988,4962853.199999999254942,10217057.039999999105930
20150824,5090464.000000000000000,4823552.699999999254942,9914016.699999999254942
20150825,5019449.759999999776483,4807765.309999999590218,9827215.070000000298023
20150826,5243800.480000000447035,5050148.179999999701977,10293948.660000000149012
20150827,5322051.839999999850988,5229381.490000000223517,10551433.330000000074506
20150828,5315719.359999999403954,5223809.469999999739230,10539528.829999998211861
20150831,5267773.439999999478459,5189448.679999999701977,10457222.119999999180436
20150901,5114436.959999999031425,5044576.160000000149012,10159013.119999999180436
20150902,5268678.080000000074506,5140229.169999999925494,10408907.250000000000000
20150903,5274105.919999999925494,5147658.529999999329448,10421764.449999999254942
20150904,5175500.160000000149012,5093795.669999999925494,10269295.830000000074506
20150908,5266416.480000000447035,5189448.679999999701977,10455865.160000000149012
20150909,5155145.759999999776483,5101225.029999999329448,10256370.789999999105930
20150910,5178666.399999999441206,5125370.449999999254942,10304036.849999997764826
