stock[index](rank)
1
rank 1,1,V[25](1) ,趨勢值,0.172817274655488,預期報酬,41214.065156355107320,風險,238483.480534660367994
rank 2,1,MSFT[18](2) ,趨勢值,0.132037440433476,預期報酬,34013.343900069405208,風險,257603.781082125758985
rank 3,1,UTX[24](3) ,趨勢值,0.115161642504328,預期報酬,24676.925394757901813,風險,214280.769691441266332
rank 4,1,AXP[1](4) ,趨勢值,0.094503584760092,預期報酬,38835.681845726780011,風險,410944.007513740798458
rank 5,1,WMT[28](5) ,趨勢值,0.085897649797457,預期報酬,18731.301105001879478,風險,218065.350439382804325
rank 6,1,IBM[10](6) ,趨勢值,0.084603300959029,預期報酬,16646.186496770416852,風險,196755.756667600420769
rank 7,1,DIS[6](7) ,趨勢值,0.084349723374845,預期報酬,22672.129918219161482,風險,268787.246846863126848
rank 8,1,PFE[20](8) ,趨勢值,0.082667192613698,預期報酬,18105.642437836984755,風險,219018.474746617052006
rank 9,1,KO[14](9) ,趨勢值,0.080818332910834,預期報酬,15171.193327923963807,風險,187719.701477412454551
rank 10,1,MMM[16](10) ,趨勢值,0.079932705098776,預期報酬,16075.575587465980789,風險,201113.869067746243672
rank 11,1,MRK[17](11) ,趨勢值,0.078766724936977,預期報酬,27786.693284898316051,風險,352771.977089702733792
rank 12,1,MCD[15](12) ,趨勢值,0.077124363977254,預期報酬,19548.107197779307171,風險,253462.151124444149900
rank 13,1,UNH[23](13) ,趨勢值,0.065509222304375,預期報酬,32218.569825655275054,風險,491817.315063802176155
rank 14,1,CVX[5](14) ,趨勢值,0.063823195214523,預期報酬,21105.978103453813674,風險,330694.476083690300584
rank 15,1,CAT[3](15) ,趨勢值,0.060697541279006,預期報酬,27469.989738109205064,風險,452571.704870864457916
rank 16,1,PG[21](16) ,趨勢值,0.057324171076973,預期報酬,13367.517082795082388,風險,233191.633331174234627
rank 17,1,NKE[19](17) ,趨勢值,0.051053151089228,預期報酬,16934.992633320864115,風險,331712.975046787236352
rank 18,1,AAPL[0](18) ,趨勢值,0.050105817130287,預期報酬,17362.143476752244169,風險,346509.536639360536356
rank 19,1,JNJ[12](19) ,趨勢值,0.039244751692214,預期報酬,8229.667404046353113,風險,209701.095030217635212
rank 20,1,VZ[26](20) ,趨勢值,0.031618795510683,預期報酬,12732.494250680641926,風險,402687.516872011241503
rank 21,1,CSCO[4](21) ,趨勢值,0.026011083841759,預期報酬,4504.266949660996943,風險,173167.215063517534873
rank 22,1,HD[9](22) ,趨勢值,0.025021476146653,預期報酬,8608.761917151561647,風險,344054.917731269670185
rank 23,1,TRV[22](23) ,趨勢值,0.024237389869144,預期報酬,8678.790050499117569,風險,358074.450151407159865
rank 24,1,XOM[29](24) ,趨勢值,0.021210892370297,預期報酬,9302.940028826142225,風險,438592.580944571644068
rank 25,1,WBA[27](25) ,趨勢值,0.016010951064148,預期報酬,5721.593857684274553,風險,357355.027490907581523
rank 26,1,INTC[11](26) ,趨勢值,0.014325438801968,預期報酬,3901.250857203849591,風險,272330.286781015689485
rank 27,1,DD[7](27) ,趨勢值,0.013581147582654,預期報酬,7051.383055783897362,風險,519203.772204793640412
rank 28,1,BA[2](28) ,趨勢值,-3330817563.315200328826904,預期報酬,-6101.561294506998820,風險,545895.944094474194571
rank 29,1,JPM[13](29) ,趨勢值,-3348067376.598206520080566,預期報酬,-12925.254877275399849,風險,259032.986845360195730
rank 30,1,GS[8](30) ,趨勢值,-4238701050.506357669830322,預期報酬,-17404.323044039920205,風險,243543.000194879365154
2
rank 1,1,UNH[23](1) ,趨勢值,0.138601153015292,預期報酬,56434.801226925723313,風險,407174.110742781311274
rank 2,1,V[25](2) ,趨勢值,0.115980888581132,預期報酬,29154.579115144395473,風險,251373.993351930461358
rank 3,1,MSFT[18](3) ,趨勢值,0.085446886721635,預期報酬,33047.648882933855930,風險,386762.469071519328281
rank 4,1,AXP[1](4) ,趨勢值,0.075679077379107,預期報酬,33058.463041050512402,風險,436824.340173272474203
rank 5,1,IBM[10](5) ,趨勢值,0.070958361777482,預期報酬,11169.858656595306456,風險,157414.269112115172902
rank 6,1,MMM[16](6) ,趨勢值,0.067382523417021,預期報酬,14753.795476752284230,風險,218955.817155186901800
rank 7,1,UTX[24](7) ,趨勢值,0.067266162306990,預期報酬,14519.679813057169667,風險,215854.142931360867806
rank 8,1,JNJ[12](8) ,趨勢值,0.057489086609071,預期報酬,10354.379841990095883,風險,180110.355768920097034
rank 9,1,MRK[17](9) ,趨勢值,0.057216828379197,預期報酬,23685.046508194132912,風險,413952.453834469022695
rank 10,1,VZ[26](10) ,趨勢值,0.056762741902905,預期報酬,24069.864252388833847,風險,424043.367981791612692
rank 11,1,MCD[15](11) ,趨勢值,0.049454568520859,預期報酬,12536.603518923797310,風險,253497.379390463087475
rank 12,1,AAPL[0](12) ,趨勢值,0.047198827530047,預期報酬,16853.445485613607161,風險,357073.392869447881822
rank 13,1,PG[21](13) ,趨勢值,0.045415662672501,預期報酬,14201.971878503185508,風險,312710.880845570180099
rank 14,1,WMT[28](14) ,趨勢值,0.034059607678828,預期報酬,8101.642720866927448,風險,237866.589576221012976
rank 15,1,KO[14](15) ,趨勢值,0.031318032894233,預期報酬,8357.931297709943465,風險,266872.805387754633557
rank 16,1,DIS[6](16) ,趨勢值,0.025760259448998,預期報酬,9650.564755671808598,風險,374629.951797604619060
rank 17,1,PFE[20](17) ,趨勢值,0.024207299907579,預期報酬,7478.542108364895284,風險,308937.474931829900015
rank 18,1,DD[7](18) ,趨勢值,0.019803244309208,預期報酬,12114.942011957513387,風險,611765.517952242167667
rank 19,1,BA[2](19) ,趨勢值,0.018382694200297,預期報酬,11332.542556984999464,風險,616478.870480367913842
rank 20,1,HD[9](20) ,趨勢值,0.013260759430178,預期報酬,5207.098612074947596,風險,392669.713939998124260
rank 21,1,TRV[22](21) ,趨勢值,0.012924765521402,預期報酬,5942.567305610458789,風險,459781.440194801019970
rank 22,1,CAT[3](22) ,趨勢值,0.012197790264038,預期報酬,3547.796246196549873,風險,290855.652491125045344
rank 23,1,CVX[5](23) ,趨勢值,0.009287930144171,預期報酬,1382.462790369965433,風險,148845.089154510613298
rank 24,1,CSCO[4](24) ,趨勢值,-531107929.642131507396698,預期報酬,-2286.498466342823576,風險,232280.028812623932026
rank 25,1,INTC[11](25) ,趨勢值,-841231690.515110015869141,預期報酬,-2170.731072439031323,風險,387533.813467691768892
rank 26,1,NKE[19](26) ,趨勢值,-1039381432.574192285537720,預期報酬,-4862.900784284408473,風險,213736.919316387124127
rank 27,1,XOM[29](27) ,趨勢值,-2559537232.590554714202881,預期報酬,-9303.429736187476010,風險,275117.596969077247195
rank 28,1,WBA[27](28) ,趨勢值,-2877239613.465630531311035,預期報酬,-15650.179010302659663,風險,183847.073670628102263
rank 29,1,JPM[13](29) ,趨勢值,-6833474789.401695251464844,預期報酬,-17489.262986174104299,風險,390723.999908046680503
rank 30,1,GS[8](30) ,趨勢值,-7388331551.858389854431152,預期報酬,-21509.519338493573741,風險,343491.243834360560868
3
rank 1,1,BA[2](1) ,趨勢值,0.107526393342329,預期報酬,37030.489710030466085,風險,344385.118471680034418
rank 2,1,UNH[23](2) ,趨勢值,0.075108286960858,預期報酬,33209.110514706655522,風險,442149.752823055488989
rank 3,1,HD[9](3) ,趨勢值,0.052833560482108,預期報酬,17236.442839694660506,風險,326240.417689279885963
