代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10857667.359999999403954
真實報酬,44704.659999998286366


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-107.899066842121087 x^2 + 19898.470769842704613 x + 10000000.000000000000000
二次平均預期報酬,9755.958486683321098
風險,108277.803024022359750
二次平均趨勢值,0.090101186154644
一次趨勢線,12332.265082672987774 x + 10000000.000000000000000
一次預期報酬,12332.265082672987774
一次風險,105843.584440541540971
一次趨勢值,0.116514053712918
投資組合檔數,5
Stock#,AAPL[0](15),MSFT[18](7),PG[21](24),VZ[26](30),WBA[27](9)
張數,20429,38767,24700,40338,25923,
分配資金,2000000,2000000,2000000,2000000,2000000,
剩餘資金,0.899999999906868,10.469999999972060,41.000000000000000,41.959999999962747,40.549999999813735,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2035137.879999999888241,2020546.509999999776483,2012597.000000000000000,2010891.260000000009313,2012443.039999999804422,10091615.689999999478459
FS( 3 ),2051276.789999999804422,2011630.100000000093132,2006175.000000000000000,2023396.039999999804422,1990408.489999999757856,10082886.419999999925494
FS( 4 ),2050051.049999999813735,2028299.909999999916181,2011362.000000000232831,2041951.519999999785796,1996111.549999999813735,10127776.029999999329448
FS( 5 ),2040040.839999999850988,2054661.469999999972060,2001729.000000000232831,2053246.159999999916181,2006480.750000000000000,10156158.219999998807907
FS( 6 ),2011440.239999999757856,2048846.419999999925494,2020254.000000000232831,2034287.300000000046566,2024626.849999999627471,10139454.809999998658895
FS( 7 ),1996322.779999999795109,2034502.629999999888241,2024206.000000000000000,2048002.220000000204891,2050549.849999999627471,10153583.480000000447035
FS( 8 ),2000408.579999999841675,2007753.399999999906868,2037050.000000000000000,2054052.919999999925494,2039662.189999999944121,10138927.089999999850988
FS( 9 ),2014913.169999999925494,2020934.180000000167638,2044460.000000000000000,2045581.939999999944121,2039143.729999999748543,10165033.019999999552965
FS( 10 ),2023084.770000000018626,2019771.169999999925494,2033344.999999999767169,2087533.459999999962747,2051068.309999999823049,10214802.709999999031425
FS( 11 ),2021246.159999999916181,2017445.149999999906868,2041496.000000000232831,2078255.720000000204891,2059363.669999999692664,10217806.699999999254942
FS( 12 ),2035750.750000000000000,2001163.009999999776483,2054340.000000000000000,2095601.060000000055879,2048216.780000000027940,10235071.599999999627471
FS( 13 ),2018998.969999999972060,1995735.629999999888241,2055081.000000000000000,2124644.419999999925494,2137910.359999999869615,10332370.379999998956919
FS( 14 ),1988559.760000000009313,1943787.850000000093132,2039519.999999999767169,2120610.620000000111759,2186904.829999999608845,10279383.060000000521541
FS( 15 ),1991011.239999999757856,1931770.079999999841675,2058785.999999999767169,2137552.580000000074506,2186386.370000000111759,10305506.269999999552965
FS( 16 ),1984473.959999999962747,1926342.699999999953434,2048906.000000000000000,2131501.879999999888241,2157093.379999999422580,10248317.919999999925494
FS( 17 ),1992849.849999999860302,1953479.600000000093132,2060268.000000000000000,2156511.439999999944121,2155538.000000000000000,10318646.890000000596046
FS( 18 ),1947497.469999999972060,1943400.180000000167638,2053352.000000000000000,2169419.600000000093132,2142576.500000000000000,10256245.750000000000000
FS( 19 ),1942798.799999999813735,1941074.159999999916181,2051129.000000000232831,2168612.839999999850988,2149834.939999999944121,10253449.740000000223517
FS( 20 ),1959346.289999999804422,1984493.199999999953434,2060268.000000000000000,2182327.760000000242144,2156834.149999999906868,10343269.400000000372529
FS( 21 ),1951991.849999999860302,1976739.800000000046566,2064219.999999999767169,2179504.100000000093132,2170832.569999999832362,10343288.320000000298023
FS( 22 ),1963227.799999999813735,2012405.439999999944121,2080027.999999999767169,2205320.419999999925494,2205050.929999999701977,10466032.589999999850988
