代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10826066.039999999105930
真實報酬,-248896.270000001415610


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-102.610521965007919 x^2 + 20512.176005001536396 x + 10000000.000000000000000
二次平均預期報酬,9840.681720640712228
風險,105822.334759036806645
二次平均趨勢值,0.092992483515399
一次趨勢線,12547.220126094542138 x + 10000000.000000000000000
一次預期報酬,12547.220126094542138
一次風險,90219.467771047216957
一次趨勢值,0.139074419702143
投資組合檔數,3
Stock#,DD[7](29),GS[8](22),NKE[19](2)
張數,49316,17548,68700,
分配資金,3333333,3333333,3333333,
剩餘資金,64.560000000055879,90.400000000372529,9.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3304236.560000000055879,3322628.720000000204891,3291425.999999999534339,9918292.279999999329448
FS( 3 ),3303250.240000000223517,3367551.600000000558794,3312723.000000000000000,9983525.839999999850988
FS( 4 ),3275140.120000000111759,3344212.760000000242144,3316158.000000000000000,9935511.880000000819564
FS( 5 ),3338757.760000000242144,3374921.760000000242144,3349821.000000000000000,10063501.519999999552965
FS( 6 ),3282044.359999999869615,3333683.960000000428408,3377300.999999999534339,9993030.320000000298023
FS( 7 ),3321497.159999999683350,3389135.640000000130385,3503022.000000000000000,10213655.800000000745058
FS( 8 ),3317058.720000000204891,3368604.480000000447035,3485160.000000000000000,10170824.200000001117587
FS( 9 ),3315579.240000000223517,3356671.840000000316650,3457680.000000000000000,10129932.080000000074506
FS( 10 ),3288948.600000000093132,3287708.200000000186265,3400659.000000000000000,9977316.800000000745058
FS( 11 ),3290921.240000000223517,3285777.920000000391155,3412338.000000000000000,9989038.160000000149012
FS( 12 ),3354045.720000000204891,3300167.280000000260770,3430887.000000000000000,10085101.000000000000000
FS( 13 ),3418649.679999999701977,3352109.360000000335276,3465924.000000000000000,10236684.039999999105930
FS( 14 ),3369826.839999999850988,3298587.960000000428408,3446688.000000000000000,10115103.800000000745058
FS( 15 ),3363908.919999999925494,3373342.440000000409782,3419895.000000000000000,10157147.359999999403954
FS( 16 ),3388073.760000000242144,3361409.800000000745058,3423330.000000000000000,10172814.560000000521541
FS( 17 ),3418649.679999999701977,3370183.800000000745058,3426078.000000000000000,10214912.480000000447035
FS( 18 ),3407800.159999999683350,3376150.120000000111759,3421956.000000000000000,10205907.279999999329448
FS( 19 ),3396950.639999999664724,3379133.280000000260770,3463863.000000000000000,10239947.919999999925494
FS( 20 ),3423088.120000000111759,3420020.120000000111759,3459741.000000000000000,10302850.240000000223517
FS( 21 ),3398430.120000000111759,3433181.120000000111759,3434322.000000000000000,10265934.240000000223517
