代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10601455.419999999925494
真實報酬,-88257.210000000894070


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-94.526124438547200 x^2 + 17531.890087991559994 x + 10000000.000000000000000
二次平均預期報酬,8362.856017452480955
風險,77259.062693099549506
二次平均趨勢值,0.108244336987011
一次趨勢線,10690.745496501262096 x + 10000000.000000000000000
一次預期報酬,10690.745496501262096
一次風險,71046.102099407798960
一次趨勢值,0.150476172240143
投資組合檔數,4
Stock#,AAPL[0](16),DIS[6](26),KO[14](12),WMT[28](14)
張數,18879,22833,60606,36189,
分配資金,2500000,2500000,2500000,2500000,
剩餘資金,42.820000000298023,14.830000000074506,2.500000000000000,63.879999999888241,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2494336.300000000279397,2494748.410000000149012,2459393.979999999981374,2461639.659999999683350,9910118.350000001490116
FS( 3 ),2516424.729999999981374,2503653.280000000260770,2461818.219999999739230,2452592.409999999683350,9934488.639999998733401
FS( 4 ),2549085.400000000372529,2519179.720000000204891,2456363.680000000167638,2484800.619999999646097,10009429.419999999925494
FS( 5 ),2558336.110000000335276,2515754.770000000018626,2450909.139999999664724,2485886.290000000037253,10010886.310000000521541
FS( 6 ),2555315.470000000204891,2527856.259999999776483,2496969.700000000186265,2492400.310000000055879,10072541.740000000223517
FS( 7 ),2562300.700000000186265,2513014.810000000055879,2498787.879999999888241,2510494.810000000055879,10084598.199999999254942
FS( 8 ),2580802.120000000111759,2511873.160000000149012,2512727.260000000242144,2585767.930000000167638,10191170.470000000670552
FS( 9 ),2588542.510000000707805,2514384.790000000037253,2521212.100000000093132,2595177.069999999832362,10219316.470000000670552
FS( 10 ),2577592.690000000409782,2505479.920000000391155,2524848.459999999962747,2580701.469999999739230,10188622.540000000968575
FS( 11 ),2580046.960000000428408,2518951.390000000130385,2532121.180000000167638,2619785.589999999850988,10250905.120000001043081
FS( 12 ),2585144.290000000502914,2516896.420000000391155,2525454.520000000018626,2596262.739999999757856,10223757.970000000670552
FS( 13 ),2586277.030000000260770,2513699.800000000279397,2543030.260000000242144,2566949.649999999906868,10209956.740000000223517
FS( 14 ),2639138.229999999981374,2535391.150000000372529,2555151.459999999962747,2549578.930000000167638,10279259.770000001415610
FS( 15 ),2623468.660000000614673,2525116.300000000279397,2573939.319999999832362,2560797.520000000018626,10283321.800000000745058
FS( 16 ),2638949.440000000409782,2539957.750000000000000,2574545.379999999888241,2534379.549999999813735,10287832.120000001043081
FS( 17 ),2630642.680000000167638,2526942.939999999944121,2556363.580000000074506,2528951.199999999720603,10242900.400000000372529
FS( 18 ),2634040.900000000372529,2531281.209999999962747,2544848.439999999944121,2528589.310000000055879,10238759.860000001266599
FS( 19 ),2624223.820000000298023,2530824.550000000279397,2544848.439999999944121,2526056.079999999608845,10225952.890000000596046
FS( 20 ),2618182.540000000502914,2535162.820000000298023,2547272.680000000167638,2528227.419999999925494,10228845.460000000894070
FS( 21 ),2626866.879999999888241,2532651.189999999944121,2563030.239999999757856,2536912.779999999795109,10259461.089999999850988
FS( 22 ),2627999.620000000111759,2546350.989999999757856,2547272.680000000167638,2531484.430000000167638,10253107.719999998807907
FS( 23 ),2624035.030000000260770,2564389.060000000055879,2543636.319999999832362,2559349.959999999962747,10291410.370000001043081
FS( 24 ),2651787.160000000614673,2554342.540000000037253,2552727.219999999739230,2554283.500000000000000,10313140.420000001788139
FS( 25 ),2656129.330000000074506,2550689.259999999776483,2560606.000000000000000,2549217.040000000037253,10316641.629999998956919
FS( 26 ),2642914.030000000260770,2551830.910000000149012,2547272.680000000167638,2529313.089999999850988,10271330.710000000894070
FS( 27 ),2670666.160000000614673,2573522.259999999776483,2556363.580000000074506,2532570.100000000093132,10333122.099999999627471
FS( 28 ),2640082.180000000167638,2551602.580000000074506,2575757.500000000000000,2529674.979999999981374,10297117.240000000223517
FS( 29 ),2669911.000000000000000,2559137.470000000204891,2568484.780000000260770,2542341.129999999888241,10339874.380000000819564
FS( 30 ),2660471.500000000000000,2562790.750000000000000,2555757.520000000018626,2528227.419999999925494,10307247.189999999478459
FS( 31 ),2655185.379999999888241,2560507.450000000186265,2552727.219999999739230,2519180.169999999925494,10287600.219999998807907
FS( 32 ),2659716.340000000316650,2565987.370000000111759,2564848.419999999925494,2520989.619999999646097,10311541.750000000000000
FS( 33 ),2714843.020000000484288,2581285.479999999981374,2571515.080000000074506,2544874.359999999869615,10412517.939999999478459
FS( 34 ),2720884.300000000279397,2569412.320000000298023,2570909.020000000018626,2560073.739999999757856,10421279.380000000819564
FS( 35 ),2717297.290000000502914,2584253.770000000018626,2581818.100000000093132,2590834.390000000130385,10474203.550000000745058
FS( 36 ),2712199.960000000428408,2589048.700000000186265,2572121.139999999664724,2608567.000000000000000,10481936.800000000745058
FS( 37 ),2712955.120000000111759,2584710.430000000167638,2570302.959999999962747,2599519.750000000000000,10467488.260000001639128
FS( 38 ),2733155.650000000372529,2581057.150000000372529,2586666.580000000074506,2606033.770000000018626,10506913.150000000372529
FS( 39 ),2718996.400000000372529,2580143.830000000074506,2579999.919999999925494,2593005.729999999981374,10472145.880000000819564
FS( 40 ),2712199.960000000428408,2581285.479999999981374,2586060.520000000018626,2585044.149999999906868,10464590.110000001266599
FS( 41 ),2706158.680000000167638,2570553.970000000204891,2582424.160000000149012,2638241.979999999981374,10497378.790000000968575
FS( 42 ),2702949.250000000000000,2567129.020000000018626,2587272.639999999664724,2644032.219999999739230,10501383.129999998956919
FS( 43 ),2673875.590000000316650,2581742.140000000130385,2585454.459999999962747,2657422.149999999906868,10498494.339999999850988
FS( 44 ),2677085.020000000484288,2581057.150000000372529,2602424.139999999664724,2657784.040000000037253,10518350.350000001490116
FS( 45 ),2662925.770000000484288,2584710.430000000167638,2593333.239999999757856,2647289.229999999981374,10488258.670000001788139
FS( 46 ),2677651.390000000596046,2597953.570000000298023,2610302.919999999925494,2659593.489999999757856,10545501.370000001043081
FS( 47 ),2665757.620000000111759,2607315.100000000093132,2635151.379999999888241,2674069.089999999850988,10582293.190000001341105
FS( 48 ),2655940.540000000502914,2596811.920000000391155,2619999.879999999888241,2680583.109999999869615,10553335.450000001117587
FS( 49 ),2689167.580000000074506,2621014.900000000372529,2611515.040000000037253,2707001.079999999608845,10628698.599999999627471
FS( 50 ),2685958.150000000372529,2613023.350000000093132,2610302.919999999925494,2712067.540000000037253,10621351.960000000894070
FS( 51 ),2711822.379999999888241,2596126.930000000167638,2623030.180000000167638,2706277.299999999813735,10637256.789999999105930
FS( 52 ),2728624.690000000409782,2629919.770000000018626,2612727.160000000149012,2716048.329999999608845,10687319.950000001117587
FS( 53 ),2712577.540000000502914,2639052.970000000204891,2620605.939999999944121,2729800.149999999906868,10702036.600000001490116
FS( 54 ),2714654.229999999981374,2644989.550000000279397,2606666.560000000055879,2730162.040000000037253,10696472.379999998956919
FS( 55 ),2712011.170000000391155,2639509.629999999888241,2615151.399999999906868,2720752.899999999906868,10687425.100000001490116
FS( 56 ),2767326.640000000596046,2619644.920000000391155,2619393.819999999832362,2722562.350000000093132,10728927.730000000447035
FS( 57 ),2784884.110000000335276,2611425.040000000037253,2629696.839999999850988,2733057.159999999683350,10759063.150000000372529
FS( 58 ),2776388.560000000521541,2548634.290000000037253,2625454.419999999925494,2741742.520000000018626,10692219.790000000968575
FS( 59 ),2766382.690000000409782,2538359.439999999944121,2646060.459999999962747,2762732.140000000130385,10713534.730000000447035
FS( 60 ),2812258.660000000614673,2557082.500000000000000,2647878.639999999664724,2768522.379999999888241,10785742.179999999701977
FS( 61 ),2888718.610000000335276,2544067.689999999944121,2659999.839999999850988,2754770.560000000055879,10847556.700000001117587
FS( 62 ),2907220.030000000260770,2558909.140000000130385,2636969.560000000055879,2776483.959999999962747,10879582.690000001341105
FS( 63 ),2893438.360000000335276,2503881.609999999869615,2640605.919999999925494,2775760.180000000167638,10813686.070000000298023
FS( 64 ),2906464.870000000111759,2502054.970000000204891,2646666.520000000018626,2755132.449999999720603,10810318.809999998658895
FS( 65 ),2947054.720000000204891,2504566.600000000093132,2641818.040000000037253,2739933.069999999832362,10833372.429999999701977
FS( 66 ),2939503.120000000111759,2491780.120000000111759,2650302.879999999888241,2760922.689999999944121,10842508.810000000521541
FS( 67 ),2935160.950000000186265,2465522.170000000391155,2657575.600000000093132,2718219.669999999925494,10776478.390000000596046
FS( 68 ),2836612.570000000298023,2427391.060000000055879,2662424.080000000074506,2718581.560000000055879,10645009.270000001415610
FS( 69 ),2879845.479999999981374,2435839.270000000018626,2654545.299999999813735,2806158.939999999944121,10776388.990000000223517
FS( 70 ),2889662.560000000521541,2455018.989999999757856,2660605.899999999906868,2850671.409999999683350,10855958.860000001266599
FS( 71 ),2907220.030000000260770,2457530.620000000111759,2677575.580000000074506,2842709.829999999608845,10885036.060000000521541
FS( 72 ),2903633.020000000484288,2443602.489999999757856,2690302.839999999850988,2840538.489999999757856,10878076.839999999850988
FS( 73 ),2894948.680000000167638,2459357.259999999776483,2729090.680000000167638,2828234.229999999981374,10911630.849999999627471
FS( 74 ),2904954.550000000279397,2449310.739999999757856,2752120.959999999962747,2834024.469999999739230,10940410.719999998807907
FS( 75 ),2900046.010000000707805,2475340.359999999869615,2750908.839999999850988,2827510.449999999720603,10953805.660000000149012
FS( 76 ),2901178.750000000000000,2473742.050000000279397,2753333.080000000074506,2828234.229999999981374,10956488.110000001266599
FS( 77 ),2883998.860000000335276,2464608.850000000093132,2755757.319999999832362,2844519.279999999795109,10948884.310000000521541
