代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10679330.720000000670552
真實報酬,-608826.400000002235174


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,81.423694680982422 x^2 + -4515.290668038061085 x + 10000000.000000000000000
二次平均預期報酬,6151.213335170636128
風險,343995.801012853393331
二次平均趨勢值,0.017881652383718
一次趨勢線,3453.936460796019674 x + 10000000.000000000000000
一次預期報酬,3453.936460796019674
一次風險,371793.149206430360209
一次趨勢值,0.009289941108835
投資組合檔數,1
Stock#,MRK[17](13)
張數,287852,
分配資金,10000000,
剩餘資金,21.519999999552965,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9720783.560000000521541,9720783.560000000521541
FS( 3 ),10207253.439999999478459,10207253.439999999478459
FS( 4 ),10074841.519999999552965,10074841.519999999552965
FS( 5 ),9925158.479999998584390,9925158.479999998584390
FS( 6 ),9948186.640000000596046,9948186.640000000596046
FS( 7 ),10146804.519999999552965,10146804.519999999552965
FS( 8 ),10086355.599999999627471,10086355.599999999627471
FS( 9 ),10152561.560000000521541,10152561.560000000521541
FS( 10 ),10308001.640000000596046,10308001.640000000596046
FS( 11 ),10244674.200000001117587,10244674.200000001117587
FS( 12 ),9864709.560000000521541,9864709.560000000521541
FS( 13 ),9640185.000000000000000,9640185.000000000000000
FS( 14 ),9858952.519999999552965,9858952.519999999552965
FS( 15 ),9645942.039999999105930,9645942.039999999105930
FS( 16 ),9683362.799999998882413,9683362.799999998882413
FS( 17 ),9588371.640000000596046,9588371.640000000596046
FS( 18 ),9464595.280000001192093,9464595.280000001192093
FS( 19 ),9435810.080000000074506,9435810.080000000074506
FS( 20 ),9312033.720000000670552,9312033.720000000670552
FS( 21 ),9389753.759999997913837,9389753.759999997913837
FS( 22 ),9159472.160000000149012,9159472.160000000149012
FS( 23 ),9222799.599999999627471,9222799.599999999627471
FS( 24 ),9170986.240000000223517,9170986.240000000223517
FS( 25 ),9228556.640000000596046,9228556.640000000596046
FS( 26 ),9332183.359999999403954,9332183.359999999403954
FS( 27 ),9677605.759999997913837,9677605.759999997913837
FS( 28 ),9697755.399999998509884,9697755.399999998509884
FS( 29 ),9651699.080000000074506,9651699.080000000074506
FS( 30 ),9890616.240000000223517,9890616.240000000223517
FS( 31 ),9870466.599999999627471,9870466.599999999627471
FS( 32 ),9548072.359999999403954,9548072.359999999403954
FS( 33 ),9588371.640000000596046,9588371.640000000596046
FS( 34 ),9732297.640000000596046,9732297.640000000596046
FS( 35 ),9703512.439999999478459,9703512.439999999478459
FS( 36 ),9974093.319999998435378,9974093.319999998435378
FS( 37 ),10034542.240000000223517,10034542.240000000223517
FS( 38 ),10080598.560000000521541,10080598.560000000521541
FS( 39 ),10368450.560000000521541,10368450.560000000521541
FS( 40 ),10365572.039999999105930,10365572.039999999105930
FS( 41 ),10322394.240000000223517,10322394.240000000223517
FS( 42 ),10267702.359999999403954,10267702.359999999403954
FS( 43 ),10109383.759999997913837,10109383.759999997913837
FS( 44 ),10112262.280000001192093,10112262.280000001192093
FS( 45 ),10195739.359999999403954,10195739.359999999403954
FS( 46 ),10250431.240000000223517,10250431.240000000223517
FS( 47 ),10342543.879999998956919,10342543.879999998956919
FS( 48 ),10345422.399999998509884,10345422.399999998509884
FS( 49 ),10198617.879999998956919,10198617.879999998956919
FS( 50 ),10066205.959999999031425,10066205.959999999031425
FS( 51 ),9913644.399999998509884,9913644.399999998509884
FS( 52 ),9850316.959999999031425,9850316.959999999031425
FS( 53 ),9974093.319999998435378,9974093.319999998435378
FS( 54 ),10198617.879999998956919,10198617.879999998956919
FS( 55 ),10322394.240000000223517,10322394.240000000223517
FS( 56 ),10449049.119999999180436,10449049.119999999180436
FS( 57 ),10388600.200000001117587,10388600.200000001117587
FS( 58 ),10492226.919999999925494,10492226.919999999925494
FS( 59 ),10420263.919999999925494,10420263.919999999925494
FS( 60 ),10503741.000000000000000,10503741.000000000000000
FS( 61 ),10336786.839999997988343,10336786.839999997988343
FS( 62 ),10305123.119999999180436,10305123.119999999180436
FS( 63 ),10264823.839999997988343,10264823.839999997988343
FS( 64 ),10129533.399999998509884,10129533.399999998509884
FS( 65 ),10126654.879999998956919,10126654.879999998956919
FS( 66 ),10037420.759999997913837,10037420.759999997913837
FS( 67 ),10152561.560000000521541,10152561.560000000521541
FS( 68 ),10126654.879999998956919,10126654.879999998956919
FS( 69 ),10000000.000000000000000,10000000.000000000000000
FS( 70 ),10092112.640000000596046,10092112.640000000596046
FS( 71 ),9919401.439999999478459,9919401.439999999478459
FS( 72 ),10094991.160000000149012,10094991.160000000149012
FS( 73 ),10023028.160000000149012,10023028.160000000149012
FS( 74 ),10129533.399999998509884,10129533.399999998509884
FS( 75 ),10094991.160000000149012,10094991.160000000149012
FS( 76 ),10069084.479999998584390,10069084.479999998584390
FS( 77 ),10178468.240000000223517,10178468.240000000223517
FS( 78 ),10296487.560000000521541,10296487.560000000521541
FS( 79 ),10043177.799999998882413,10043177.799999998882413
FS( 80 ),10086355.599999999627471,10086355.599999999627471
FS( 81 ),10074841.519999999552965,10074841.519999999552965
FS( 82 ),10066205.959999999031425,10066205.959999999031425
FS( 83 ),10230281.599999999627471,10230281.599999999627471
FS( 84 ),10181346.759999997913837,10181346.759999997913837
FS( 85 ),9991364.439999999478459,9991364.439999999478459
FS( 86 ),9913644.399999998509884,9913644.399999998509884
FS( 87 ),10066205.959999999031425,10066205.959999999031425
FS( 88 ),9913644.399999998509884,9913644.399999998509884
FS( 89 ),9942429.599999999627471,9942429.599999999627471
FS( 90 ),9925158.479999998584390,9925158.479999998584390
FS( 91 ),10074841.519999999552965,10074841.519999999552965
FS( 92 ),9997121.479999998584390,9997121.479999998584390
FS( 93 ),10120897.839999997988343,10120897.839999997988343
FS( 94 ),10253309.759999997913837,10253309.759999997913837
FS( 95 ),10175589.720000000670552,10175589.720000000670552
FS( 96 ),10244674.200000001117587,10244674.200000001117587
FS( 97 ),10207253.439999999478459,10207253.439999999478459
FS( 98 ),10308001.640000000596046,10308001.640000000596046
FS( 99 ),10385721.679999999701977,10385721.679999999701977
FS( 100 ),10549797.319999998435378,10549797.319999998435378
FS( 101 ),10426020.959999999031425,10426020.959999999031425
FS( 102 ),10512376.560000000521541,10512376.560000000521541
FS( 103 ),10509498.039999999105930,10509498.039999999105930
FS( 104 ),10486469.879999998956919,10486469.879999998956919
FS( 105 ),10457684.679999999701977,10457684.679999999701977
FS( 106 ),10518133.599999999627471,10518133.599999999627471
FS( 107 ),10569946.959999999031425,10569946.959999999031425
FS( 108 ),10639031.439999999478459,10639031.439999999478459
FS( 109 ),10552675.839999997988343,10552675.839999997988343
FS( 110 ),10748415.200000001117587,10748415.200000001117587
FS( 111 ),10687966.280000001192093,10687966.280000001192093
FS( 112 ),10722508.519999999552965,10722508.519999999552965
FS( 113 ),10685087.759999997913837,10685087.759999997913837
FS( 114 ),10595853.640000000596046,10595853.640000000596046
FS( 115 ),10535404.720000000670552,10535404.720000000670552
FS( 116 ),10512376.560000000521541,10512376.560000000521541
FS( 117 ),10656302.560000000521541,10656302.560000000521541
FS( 118 ),10636152.919999999925494,10636152.919999999925494
FS( 119 ),10567068.439999999478459,10567068.439999999478459
FS( 120 ),10624638.839999997988343,10624638.839999997988343
FS( 121 ),10610246.240000000223517,10610246.240000000223517
FS( 122 ),10546918.799999998882413,10546918.799999998882413
FS( 123 ),10696601.839999997988343,10696601.839999997988343
FS( 124 ),10693723.319999998435378,10693723.319999998435378
FS( 125 ),10636152.919999999925494,10636152.919999999925494
FS( 126 ),10716751.479999998584390,10716751.479999998584390
FS( 127 ),10512376.560000000521541,10512376.560000000521541
FS( 128 ),10647667.000000000000000,10647667.000000000000000
FS( 129 ),10679330.720000000670552,10679330.720000000670552
FS( 130 ),10679330.720000000670552,10679330.720000000670552
