代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11241113.670000001788139
真實報酬,473807.060000000521541


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-58.806268277389819 x^2 + 19792.622751658676862 x + 10000000.000000000000000
二次平均預期報酬,12089.001607320609764
風險,61963.652764388221840
二次平均趨勢值,0.195098272422513
一次趨勢線,14037.043735773917433 x + 10000000.000000000000000
一次預期報酬,14037.043735773917433
一次風險,132155.576942787709413
一次趨勢值,0.106216052780359
投資組合檔數,7
Stock#,CVX[5](14),INTC[11](1),KO[14](24),MCD[15](27),TRV[22](21),UNH[23](8),WMT[28](26)
張數,12889,59973,38115,15346,17779,20260,19642,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
剩餘資金,83.130000000121072,14.139999999897555,20.800000000046566,11.859999999869615,28.350000000093132,38.399999999906868,8.339999999850988,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1411686.410000000149012,1410579.099999999860302,1433525.949999999953434,1436090.539999999804422,1430171.110000000102445,1434851.599999999860302,1431320.879999999888241,9988228.589999999850988
FS( 3 ),1434242.160000000149012,1438766.409999999916181,1449534.250000000000000,1456961.099999999860302,1434615.860000000102445,1435864.600000000093132,1430338.779999999795109,10080326.160000000149012
FS( 4 ),1444295.580000000074506,1451960.469999999972060,1446485.050000000046566,1472000.179999999934807,1437993.870000000111759,1445792.000000000000000,1448605.839999999850988,10147135.989999998360872
FS( 5 ),1439655.540000000037253,1456758.309999999823049,1470116.350000000093132,1455733.419999999925494,1464129.000000000000000,1412970.799999999813735,1448802.260000000009313,10148168.679999997839332
FS( 6 ),1464015.750000000000000,1467553.449999999720603,1472784.400000000139698,1463099.500000000000000,1479418.939999999944121,1430799.600000000093132,1469229.939999999711290,10246904.579999998211861
FS( 7 ),1444037.800000000046566,1472351.290000000037253,1467829.449999999953434,1456193.799999999813735,1462528.890000000130385,1423100.799999999813735,1472372.659999999683350,10198417.690000001341105
FS( 8 ),1450224.520000000251457,1481347.239999999757856,1473165.550000000046566,1464941.019999999785796,1473551.870000000111759,1442752.999999999767169,1480229.459999999729916,10266215.659999998286366
FS( 9 ),1462726.850000000093132,1484945.619999999878928,1483837.750000000000000,1469851.739999999990687,1493819.929999999934807,1489553.599999999860302,1488675.520000000018626,10373414.009999999776483
FS( 10 ),1452802.320000000065193,1484945.619999999878928,1428189.850000000093132,1473534.779999999795109,1500042.580000000074506,1495834.199999999953434,1479640.199999999720603,10314992.549999998882413
FS( 11 ),1464273.530000000027940,1469352.639999999897555,1414087.300000000046566,1466322.159999999916181,1493642.140000000130385,1490161.399999999906868,1470212.039999999804422,10268054.209999999031425
FS( 12 ),1477162.530000000027940,1483746.159999999916181,1421710.300000000046566,1469391.359999999869615,1490086.340000000083819,1488743.199999999953434,1444088.179999999701977,10274931.069999998435378
FS( 13 ),1452415.650000000139698,1464554.800000000046566,1417136.500000000000000,1480133.559999999823049,1489730.760000000242144,1495429.000000000000000,1436231.379999999888241,10235634.649999998509884
FS( 14 ),1471362.480000000214204,1477149.129999999888241,1429333.300000000046566,1480900.859999999869615,1483508.110000000102445,1540001.000000000000000,1440749.039999999804422,10323006.919999998062849
FS( 15 ),1481931.460000000195578,1476549.399999999906868,1439624.350000000093132,1482742.379999999888241,1481730.210000000195578,1526021.599999999860302,1440749.039999999804422,10329351.439999999478459
FS( 16 ),1488891.520000000251457,1487344.540000000037253,1443435.849999999860302,1471539.799999999813735,1483330.320000000298023,1541014.000000000000000,1468837.099999999860302,10384396.130000000819564
FS( 17 ),1491211.540000000037253,1484945.619999999878928,1451058.850000000093132,1459109.539999999804422,1490797.500000000000000,1540203.599999999860302,1464515.859999999869615,10381845.509999999776483
FS( 18 ),1486571.500000000000000,1484945.619999999878928,1456013.800000000046566,1460183.760000000009313,1490619.710000000195578,1565528.599999999860302,1467265.739999999990687,10411131.730000000447035
FS( 19 ),1480255.890000000130385,1469352.639999999897555,1452964.599999999860302,1447446.579999999841675,1478885.570000000298023,1562084.399999999906868,1455873.379999999888241,10346866.059999998658895
FS( 20 ),1486442.610000000102445,1475949.669999999925494,1460206.450000000186265,1457574.939999999944121,1495420.040000000037253,1582952.199999999720603,1475711.799999999813735,10434260.710000000894070
FS( 21 ),1474971.400000000139698,1469352.639999999897555,1461731.050000000046566,1458188.779999999795109,1500042.580000000074506,1580115.799999999813735,1469229.939999999711290,10413635.189999999478459
FS( 22 ),1480384.780000000027940,1477149.129999999888241,1466304.850000000093132,1466782.539999999804422,1500575.950000000186265,1573024.799999999813735,1470801.299999999813735,10435026.350000001490116
FS( 23 ),1483349.250000000000000,1477748.859999999869615,1469354.050000000046566,1465554.859999999869615,1492219.820000000298023,1568162.399999999906868,1464908.699999999720603,10421300.939999999478459
FS( 24 ),1493144.890000000130385,1489743.459999999962747,1473165.550000000046566,1460951.059999999823049,1489552.970000000204891,1577887.199999999720603,1461962.399999999906868,10446410.529999999329448
FS( 25 ),1476002.520000000251457,1483146.429999999934807,1478882.800000000046566,1515889.739999999990687,1485997.170000000158325,1575861.199999999953434,1471586.979999999981374,10487369.839999999850988
FS( 26 ),1490695.980000000214204,1484945.619999999878928,1466304.850000000093132,1514815.519999999785796,1483330.320000000298023,1572214.399999999906868,1483568.599999999860302,10495878.289999999105930
FS( 27 ),1475229.180000000167638,1473550.750000000000000,1447247.350000000093132,1494251.879999999888241,1468395.960000000195578,1560261.000000000000000,1471783.399999999906868,10390722.520000001415610
FS( 28 ),1470718.030000000027940,1469352.639999999897555,1454870.350000000093132,1497474.539999999804422,1469640.489999999990687,1533720.399999999906868,1459016.099999999860302,10354795.549999998882413
FS( 29 ),1483220.360000000102445,1481347.239999999757856,1458681.850000000093132,1497781.459999999729916,1485286.010000000242144,1555196.000000000000000,1466872.899999999906868,10428388.820000000298023
FS( 30 ),1498300.489999999990687,1488544.000000000000000,1463636.800000000046566,1493331.119999999878928,1492575.400000000139698,1580318.399999999906868,1468640.679999999701977,10485349.890000000596046
FS( 31 ),1484895.930000000167638,1500538.599999999860302,1453726.900000000139698,1474762.459999999729916,1479241.150000000139698,1620027.999999999767169,1460980.299999999813735,10474176.339999999850988
FS( 32 ),1488891.520000000251457,1525127.529999999795109,1465542.550000000046566,1482435.459999999729916,1479774.520000000251457,1651836.199999999953434,1480622.299999999813735,10574233.079999998211861
FS( 33 ),1490438.199999999953434,1509534.550000000046566,1465161.399999999906868,1465094.479999999748543,1489552.970000000204891,1647986.800000000046566,1494764.539999999804422,10562535.939999999478459
FS( 34 ),1493273.780000000027940,1506535.899999999906868,1463636.800000000046566,1475990.139999999897555,1490975.290000000037253,1646771.199999999953434,1507728.260000000009313,10584914.369999999180436
FS( 35 ),1509256.140000000130385,1526926.719999999972060,1472022.099999999860302,1471846.719999999739230,1493997.720000000204891,1643124.399999999906868,1509888.879999999888241,10627065.679999999701977
FS( 36 ),1517247.320000000065193,1522128.879999999888241,1471640.949999999953434,1470772.500000000000000,1483330.320000000298023,1652038.800000000046566,1497318.000000000000000,10614479.770000001415610
FS( 37 ),1516731.760000000242144,1517930.769999999785796,1479645.100000000093132,1475683.219999999739230,1484397.060000000055879,1641503.599999999860302,1495550.219999999972060,10611444.730000000447035
FS( 38 ),1527429.630000000121072,1536522.399999999906868,1484600.050000000046566,1492256.899999999906868,1493286.560000000055879,1653659.600000000093132,1492996.760000000009313,10680754.900000000372529
FS( 39 ),1532714.120000000111759,1547917.269999999785796,1473546.699999999953434,1504380.239999999990687,1513021.250000000000000,1661155.799999999813735,1501246.399999999906868,10733984.779999999329448
FS( 40 ),1533874.130000000121072,1558712.409999999916181,1464017.949999999953434,1502385.260000000009313,1500398.160000000149012,1658116.800000000046566,1507924.679999999701977,10725432.390000000596046
FS( 41 ),1538385.280000000027940,1552715.109999999869615,1460968.750000000000000,1497628.000000000000000,1505020.700000000186265,1653457.000000000000000,1515977.899999999906868,10724155.740000000223517
FS( 42 ),1534389.690000000176951,1583901.069999999832362,1451058.850000000093132,1498702.219999999739230,1510887.770000000251457,1666423.399999999906868,1521477.659999999683350,10766843.660000000149012
FS( 43 ),1531296.330000000074506,1568907.819999999832362,1456776.100000000093132,1501924.879999999888241,1514799.150000000139698,1651836.199999999953434,1518531.359999999869615,10744074.839999999850988
FS( 44 ),1512478.390000000130385,1588698.909999999916181,1472022.099999999860302,1488727.319999999832362,1511243.350000000093132,1642719.199999999953434,1518531.359999999869615,10734423.629999997094274
