代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12766571.389999998733401
真實報酬,217390.439999999478459


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,106.907774948833350 x^2 + 10101.992343228612299 x + 10000000.000000000000000
二次平均預期報酬,24106.910861525782821
風險,175070.876097029482480
二次平均趨勢值,0.137698007795226
一次趨勢線,20565.437213220746344 x + 10000000.000000000000000
一次預期報酬,20565.437213220746344
一次風險,330879.280967570026405
一次趨勢值,0.062153898403921
投資組合檔數,5
Stock#,AAPL[0](2),BA[2](3),GS[8](4),INTC[11](11),JPM[13](7)
張數,18891,15242,12654,57836,30978,
分配資金,2000000,2000000,2000000,2000000,2000000,
剩餘資金,9.829999999841675,97.179999999934807,35.299999999813735,31.120000000111759,60.319999999832362,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2030414.510000000009313,2007925.839999999850988,2051122.159999999916181,2023134.399999999906868,2053901.719999999739230,10166498.629999998956919
FS( 3 ),2047227.500000000000000,2014937.159999999916181,2060486.119999999878928,2026604.560000000055879,2047706.119999999646097,10196961.459999999031425
FS( 4 ),2055539.539999999804422,2021491.219999999972060,2068205.059999999823049,2019664.240000000223517,2040581.179999999934807,10205481.240000000223517
FS( 5 ),2040237.829999999841675,2016308.939999999944121,2052387.559999999823049,1997108.200000000186265,2022304.159999999916181,10128346.689999999478459
FS( 6 ),2038915.459999999962747,2027283.179999999934807,2073519.739999999990687,2005783.600000000093132,2027880.199999999720603,10173382.179999999701977
FS( 7 ),2043638.209999999962747,2028807.379999999888241,2065800.799999999813735,1999421.640000000130385,2023543.279999999562278,10161211.309999998658895
FS( 8 ),2068196.510000000009313,2052584.899999999906868,2094905.000000000000000,2019085.879999999888241,2035934.479999999748543,10270706.769999999552965
FS( 9 ),2066307.409999999683350,2057767.179999999934807,2096170.399999999906868,2036436.680000000167638,2035624.699999999720603,10292306.369999999180436
FS( 10 ),2063284.849999999860302,2053499.419999999925494,2096423.479999999748543,2025447.840000000316650,2041200.739999999757856,10279856.330000000074506
FS( 11 ),2060640.109999999869615,2057767.179999999934807,2101358.540000000037253,2022556.040000000037253,2043059.419999999925494,10285381.289999999105930
FS( 12 ),2065929.589999999850988,2049231.659999999916181,2103509.719999999739230,2038171.760000000242144,2040271.399999999906868,10297114.130000000819564
FS( 13 ),2049872.239999999990687,2057614.760000000009313,2103889.339999999850988,2045112.080000000074506,2038412.719999999739230,10294901.140000000596046
FS( 14 ),2056295.179999999701977,2044659.059999999823049,2101611.620000000111759,2047425.520000000018626,2037483.379999999655411,10287474.759999997913837
FS( 15 ),2040804.559999999823049,2031703.359999999869615,2091741.500000000000000,2032966.520000000018626,2043059.419999999925494,10240275.359999999403954
FS( 16 ),2032114.699999999720603,2026978.339999999850988,2099333.899999999906868,2029496.360000000335276,2046776.779999999562278,10234700.080000000074506
FS( 17 ),2020213.369999999878928,2015546.839999999850988,2100219.679999999701977,2039328.479999999981374,2051423.479999999748543,10226731.849999999627471
FS( 18 ),2017946.449999999720603,2025758.979999999981374,2111608.279999999795109,2056100.919999999925494,2074037.419999999925494,10285452.049999998882413
FS( 19 ),2002455.829999999841675,1993903.199999999953434,2143243.279999999795109,2064776.320000000298023,2091075.319999999832362,10295453.949999999254942
FS( 20 ),2004344.929999999701977,1973174.079999999841675,2144382.140000000130385,2075765.160000000149012,2091075.319999999832362,10288741.630000000819564
FS( 21 ),2016246.260000000009313,1980032.979999999981374,2132360.839999999850988,2083283.840000000316650,2082091.699999999720603,10294015.619999999180436
FS( 22 ),2035137.260000000009313,1999237.899999999906868,2140839.020000000018626,2086754.000000000000000,2090765.539999999571592,10352733.719999998807907
FS( 23 ),2034570.529999999795109,2027130.760000000009313,2142737.120000000111759,2115093.640000000130385,2089216.639999999664724,10408748.690000001341105
FS( 24 ),2047038.589999999850988,2021796.059999999823049,2147039.479999999515712,2108731.680000000167638,2080542.799999999813735,10405148.609999999403954
FS( 25 ),1993388.149999999674037,2025758.979999999981374,2172220.939999999944121,2107574.959999999962747,2083330.819999999832362,10382273.849999999627471
FS( 26 ),1948238.659999999683350,1959151.439999999944121,2133120.079999999608845,2049738.959999999962747,2064744.020000000018626,10154993.160000000149012
FS( 27 ),1991876.869999999878928,1983386.219999999972060,2164628.540000000037253,2086754.000000000000000,2077445.000000000000000,10304090.629999998956919
FS( 28 ),2039293.279999999795109,1962657.099999999860302,2113253.299999999813735,2059571.080000000074506,2061026.659999999916181,10235801.419999999925494
FS( 29 ),2111456.899999999441206,1946043.320000000065193,2102623.939999999944121,2060149.439999999944121,2056999.520000000018626,10277273.119999999180436
FS( 30 ),2183242.699999999254942,1947567.519999999785796,2126919.620000000111759,2114515.280000000260770,2064434.239999999757856,10436679.359999999403954
FS( 31 ),2170963.549999999813735,1931258.580000000074506,2100599.299999999813735,2178713.240000000223517,2039032.279999999562278,10420566.949999999254942
FS( 32 ),2145649.609999999403954,1943147.340000000083819,2103256.640000000130385,2149216.879999999888241,2050494.139999999664724,10391764.609999999403954
FS( 33 ),2145460.699999999254942,1947872.360000000102445,2106546.679999999701977,2148060.160000000149012,2058858.199999999720603,10406798.099999999627471
FS( 34 ),2145082.879999999888241,1990092.699999999953434,2113632.919999999925494,2165989.320000000298023,2070629.839999999850988,10485427.660000000149012
FS( 35 ),2165296.250000000000000,2010059.719999999972060,2126160.379999999888241,2171772.919999999925494,2087667.739999999757856,10560957.009999999776483
FS( 36 ),2129214.439999999478459,2008687.939999999944121,2089590.319999999832362,2150951.959999999962747,2083330.819999999832362,10461775.479999998584390
FS( 37 ),2132425.910000000149012,1990245.119999999878928,2043403.219999999739230,2119720.520000000018626,2037793.159999999916181,10323587.929999999701977
FS( 38 ),2136393.019999999552965,2001676.619999999878928,2061245.359999999636784,2150373.600000000093132,2055760.399999999906868,10405449.000000000000000
FS( 39 ),2152639.280000000260770,2015546.839999999850988,2068331.599999999627471,2165410.959999999962747,2066602.699999999720603,10468531.379999998956919
FS( 40 ),2119202.209999999962747,1997256.439999999944121,2011388.599999999627471,2158470.640000000130385,2033766.020000000018626,10320083.910000000149012
FS( 41 ),2135637.379999999888241,2008078.260000000009313,2040745.879999999888241,2183340.120000000111759,2062885.339999999850988,10430686.980000000447035
FS( 42 ),2125625.149999999441206,2017833.139999999897555,2038215.079999999841675,2178134.879999999888241,2060407.100000000093132,10420215.349999999627471
FS( 43 ),2134692.830000000074506,2015851.679999999934807,2053399.879999999888241,2171194.560000000055879,2063195.119999999646097,10438334.069999998435378
FS( 44 ),2135637.379999999888241,2052584.899999999906868,2105660.899999999906868,2197220.760000000242144,2096961.139999999664724,10588065.079999998211861
FS( 45 ),2151505.820000000298023,2048926.819999999832362,2115151.399999999906868,2201847.640000000130385,2102537.180000000167638,10619968.860000001266599
FS( 46 ),2154717.290000000037253,2040238.879999999888241,2149064.120000000111759,2203582.720000000204891,2109971.899999999906868,10657574.910000000149012
FS( 47 ),2192310.379999999888241,2070570.459999999962747,2164375.459999999497086,2198955.840000000316650,2126390.239999999757856,10752602.379999998956919
FS( 48 ),2197033.129999999888241,2038562.260000000009313,2139067.459999999497086,2155578.840000000316650,2116167.500000000000000,10646409.189999999478459
FS( 49 ),2216679.769999999552965,2029721.899999999906868,2142357.500000000000000,2147481.800000000279397,2110591.459999999497086,10646832.429999999701977
FS( 50 ),2209879.009999999776483,2033075.139999999897555,2118567.979999999515712,2138228.040000000037253,2098510.039999999571592,10598260.209999997168779
FS( 51 ),2222158.160000000149012,2034904.179999999934807,2157795.379999999888241,2165989.320000000298023,2091694.879999999655411,10672541.919999998062849
FS( 52 ),2220646.879999999888241,2042525.179999999934807,2138561.299999999813735,2156735.560000000055879,2080852.579999999841675,10639321.500000000000000
FS( 53 ),2219135.599999999627471,2059291.379999999888241,2184495.319999999832362,2183340.120000000111759,2097270.919999999925494,10743533.339999997988343
FS( 54 ),2212523.750000000000000,2075752.739999999990687,2208284.839999999850988,2053787.479999999981374,2117406.619999999646097,10667755.429999999701977
FS( 55 ),2211390.290000000037253,2070570.459999999962747,2208284.839999999850988,2049160.600000000093132,2114618.600000000093132,10654024.789999999105930
FS( 56 ),2202700.429999999701977,2067369.639999999897555,2210309.479999999515712,2032966.520000000018626,2121743.539999999571592,10635089.609999997541308
FS( 57 ),2222535.979999999515712,2095110.079999999841675,2216003.779999999795109,2039328.479999999981374,2133515.180000000167638,10706493.500000000000000
