代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11858959.600000001490116
真實報酬,-863657.469999998807907


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-38.188486462323439 x^2 + 20262.605150667484850 x + 10000000.000000000000000
二次平均預期報酬,15259.913424103113357
風險,253906.557452315813862
二次平均趨勢值,0.060100509326030
一次趨勢線,16524.961906682598055 x + 10000000.000000000000000
一次預期報酬,16524.961906682598055
一次風險,257140.226119017956080
一次趨勢值,0.064264398286070
投資組合檔數,2
Stock#,INTC[11](23),NKE[19](3)
張數,112536,78814,
分配資金,5000000,5000000,
剩餘資金,25.520000000484288,39.839999999850988,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5034886.160000001080334,5042559.559999999590218,10077445.720000000670552
FS( 3 ),5034886.160000001080334,5087483.540000000037253,10122369.700000001117587
FS( 4 ),4908845.839999999850988,5051229.100000000558794,9960074.940000001341105
FS( 5 ),4782805.520000000484288,5061474.919999999925494,9844280.440000001341105
FS( 6 ),4885213.280000000260770,5066991.900000000372529,9952205.179999999701977
FS( 7 ),4866082.160000001080334,5096941.219999999739230,9963023.380000000819564
FS( 8 ),4854828.560000000521541,4998423.719999999739230,9853252.280000001192093
FS( 9 ),4995498.560000000521541,5029161.179999999701977,10024659.740000000223517
FS( 10 ),5005626.799999999813735,5052805.379999999888241,10058432.179999999701977
FS( 11 ),5043889.040000000968575,5297128.779999999329448,10341017.820000000298023
FS( 12 ),5148547.520000000484288,5232501.299999999813735,10381048.820000000298023
FS( 13 ),5183433.680000000633299,5291611.799999999813735,10475045.480000000447035
FS( 14 ),5121538.879999999888241,5359391.839999999850988,10480930.719999998807907
FS( 15 ),5097906.320000000298023,5336535.779999999329448,10434442.099999999627471
FS( 16 ),5635828.400000000372529,5362544.400000000372529,10998372.800000000745058
FS( 17 ),5624574.799999999813735,5326289.959999999962747,10950864.759999999776483
FS( 18 ),5490656.959999999962747,5306586.459999999962747,10797243.419999999925494
FS( 19 ),5417508.560000000521541,5376730.919999999925494,10794239.480000000447035
FS( 20 ),5362365.919999999925494,5331806.940000000409782,10694172.859999999403954
FS( 21 ),5193561.919999999925494,5297916.919999999925494,10491478.839999999850988
FS( 22 ),5010128.240000001154840,5074873.299999999813735,10085001.540000000968575
FS( 23 ),5054017.280000000260770,5140288.919999999925494,10194306.199999999254942
FS( 24 ),5086652.720000000670552,5172602.659999999217689,10259255.379999998956919
FS( 25 ),4810939.520000000484288,4925126.700000000186265,9736066.220000000670552
FS( 26 ),4945982.720000000670552,5161568.699999999254942,10107551.419999999925494
FS( 27 ),5045014.400000000372529,5200187.560000000521541,10245201.960000000894070
FS( 28 ),5003376.080000001005828,5191518.020000000484288,10194894.100000001490116
FS( 29 ),5106909.200000001117587,5356239.279999999329448,10463148.480000000447035
FS( 30 ),5167678.640000000596046,5382247.900000000372529,10549926.540000000968575
FS( 31 ),5127165.680000000633299,5383036.040000000037253,10510201.720000000670552
FS( 32 ),5212693.040000000968575,5319196.699999999254942,10531889.740000000223517
FS( 33 ),5169929.360000000335276,5284518.540000000037253,10454447.900000000372529
FS( 34 ),5154174.320000000298023,5290823.659999999217689,10444997.980000000447035
FS( 35 ),5371368.799999999813735,5372002.079999999143183,10743370.879999998956919
FS( 36 ),5526668.480000000447035,5489434.940000000409782,11016103.420000001788139
